Customer ID,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Monthly Charge,Total Revenue,Zip Code,Satisfaction Score,Gender,Age,Number of Dependents
6718-BDGHG,0.0,4.0,5,1,31.61,1,1,2.0,0,0,0,0,1,0,95.45,522.54,92122.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
4981-FLTMF,2.0,32.0,3,1,47.34,1,1,10.0,0,0,0,0,1,0,74.9,3818.23,92122.0,2.0,1.0,46.747821249768215,0.0
3522-CDKHF,1.0,24.0,3,1,16.1,0,1,12.0,0,0,1,0,1,0,93.15,2617.4500000000007,92122.0,2.0,1.0,77.0,0.47951047654366774
8999-XXGNS,0.0,2.0,5,1,13.17,0,1,20.32486556647506,0,0,0,0,1,0,70.35,165.39,92122.0,3.0,0.0,74.0,0.0
8443-WVPSS,0.0,21.0,0,0,13.970530684296081,0,1,8.0,1,0,0,0,1,0,41.9,840.1,92122.0,1.0,0.0,77.0,0.0
4615-PIVVU,1.0,11.0,0,1,29.54,0,0,0.0,0,0,0,0,1,0,19.95,539.69,92122.0,1.0,0.5063971815316151,79.0,0.0
7401-RUBNK,2.0,55.0,2,1,42.82,1,1,27.0,0,0,1,0,0,0,85.45,7319.799999999998,92122.0,1.0,0.0,66.0,0.0
5701-GUXDC,0.0,3.0,5,1,9.22,1,1,14.0,0,1,0,0,1,0,81.35,261.36,92122.0,1.0,1.0,77.0,0.47951047654366774
1723-HKXJQ,0.0,5.0,5,0,0.0,0,1,26.0,0,1,0,0,1,0,28.45,131.05,92122.0,2.0,0.0,77.0,0.0
0479-HMSWA,0.0,20.0,0,1,48.73,0,1,12.0,0,1,1,0,1,0,94.1,2837.0,92544.0,1.0,0.0,77.0,0.0
0027-KWYKW,4.0,5.0,5,1,45.76,1,1,22.0,0,0,0,0,1,0,74.35,563.6,92557.0,1.0,0.0,72.0,0.0
7750-EYXWZ,2.0,25.617198094808835,3,1,16.2379006481047,0,1,25.0,1,0,0,0,1,0,61.424832185444586,2118.89,92571.0,1.0,0.0,80.0,0.0
2014-MKGMH,0.0,4.0,0,1,48.35,1,1,24.0,0,0,1,0,1,0,89.2,539.6,92122.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
3146-MSEGF,0.0,1.0,0,1,45.81,1,1,21.0,0,0,0,0,1,0,85.7,131.51,92122.0,3.0,0.0,68.0,0.47951047654366774
7929-DMBCV,3.0,49.0,2,1,22.968040722525274,1,1,14.0,0,1,0,0,1,0,90.05,4722.256142826605,92122.0,2.0,1.0,75.0,0.0
3336-JORSO,1.0,43.0,2,1,14.52,1,1,20.32486556647506,0,0,1,1,1,0,110.75,5312.259999999998,93101.0,2.0,1.0,77.0,0.0
3580-REOAC,0.0,56.0,2,1,48.8,1,1,12.0,1,0,1,0,1,1,104.55,8527.449999999999,93201.0,1.0,1.0,80.0,0.0
5614-DNZCE,7.0,20.0,0,1,22.968040722525274,1,1,10.0,0,0,0,0,1,0,94.55,2005.85,93208.0,1.0,0.5063971815316151,75.0,0.47951047654366774
1845-CSBRZ,0.0,2.0,0,1,22.968040722525274,1,1,19.0,0,1,0,0,1,0,44.840151588731146,256.44,92122.0,2.0,0.5063971815316151,46.747821249768215,0.47951047654366774
4334-HOWRP,0.0,8.0,0,1,27.95,0,0,0.0,0,0,0,0,0,0,19.65,387.9,93224.0,3.0,0.0,74.0,0.0
4906-ZHGPK,0.0,11.020542715023096,0,1,43.99,0,1,27.0,1,0,0,0,1,0,49.25,179.07999999999996,92129.0,2.0,1.0,69.0,0.0
7207-RMRDB,1.0,33.0,0,1,27.78,1,1,8.0,0,0,0,0,1,0,94.5,4022.29,92129.0,3.0,1.0,72.0,0.0
1591-XWLGB,0.0,30.0,3,1,45.88,1,1,19.0,1,1,1,0,1,0,91.7,4134.55,92129.0,1.0,0.0,69.0,0.0
2424-WVHPL,0.0,20.0,0,1,44.44,1,1,13.0,0,0,1,0,0,0,98.55,2851.6,92129.0,3.0,1.0,46.747821249768215,0.47951047654366774
4342-HFXWS,0.0,47.17518361772582,0,1,2.37,1,1,20.0,1,1,0,0,1,1,110.0,4983.8200000000015,93606.0,1.0,0.0,65.0,0.0
1866-NXPSP,1.0,7.0,0,1,21.91,1,1,11.0,0,0,0,0,1,0,95.6,797.72,93662.0,3.0,1.0,74.0,0.0
2135-DQWAQ,0.0,4.0,0,1,36.93,0,1,20.32486556647506,0,0,0,0,1,0,78.85,440.52,93675.0,3.0,0.0,65.0,0.47951047654366774
8207-VVMYB,0.0,55.0,2,1,37.38,1,1,7.0,0,0,1,0,0,1,100.0,7665.200000000002,93706.0,3.0,0.0,66.0,0.0
7469-LKBCI,1.0,20.0,0,1,5.37,0,1,24.0,0,1,0,0,1,0,73.65,1570.9,93928.0,1.0,1.0,46.747821249768215,0.0
5016-ETTFF,0.0,9.0,0,1,48.71,1,1,20.32486556647506,0,0,1,0,1,0,100.5,1356.99,94102.0,3.0,1.0,65.0,0.47951047654366774
9115-YQHGA,0.0,10.0,0,1,5.46,0,1,24.0,0,1,0,0,0,0,72.85,773.25,92122.0,3.0,1.0,69.0,0.0
5792-JALQC,0.0,1.0,0,1,36.92,1,1,6.0,0,0,0,0,1,0,44.01506877147801,110.47,92122.0,2.0,1.0,75.0,0.0
0570-BFQHT,0.0,3.0,0,1,41.9,1,1,11.0,0,1,0,0,1,0,79.4,330.75,94102.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
8800-JOOCF,0.0,4.0,0,1,6.68,1,1,17.0,0,0,0,0,1,0,84.6,386.82000000000005,94304.0,1.0,0.0,46.747821249768215,0.0
8883-ANODQ,0.0,35.0,0,1,20.83,1,1,19.0,0,0,1,0,0,0,99.05,3288.6507085921626,94512.0,3.0,1.0,71.0,0.0
1023-BQXZE,0.0,2.0,5,1,26.62,0,1,11.0,0,0,0,0,1,0,44.95,138.39,94514.0,2.0,1.0,80.0,0.0
3722-WPXTK,0.0,8.0,0,1,15.077778567856942,0,1,20.32486556647506,1,0,0,1,1,0,100.3,924.91,92122.0,3.0,1.0,46.747821249768215,0.0
7596-IIWYC,2.0,44.0,0,1,13.970530684296081,0,1,28.0,0,1,0,0,1,0,30.35,1359.7,94550.0,1.0,1.0,73.0,0.0
3115-CZMZD,1.0,62.0,0,1,7.11,1,1,16.0,0,1,1,0,1,1,103.75,6824.17,94558.0,3.0,1.0,77.0,0.47951047654366774
5590-YRFJT,1.0,33.0,0,1,33.19,1,1,15.0,0,1,0,0,1,0,80.6,3751.77,92122.0,3.0,0.0,76.0,0.0
4078-SAYYN,0.0,4.0,5,1,49.5,1,1,23.0,0,0,0,0,1,0,47.30695689625486,622.45,94583.0,2.0,0.5063971815316151,65.0,0.0
2884-GBPFB,1.0,27.0,0,1,10.6,1,1,23.0,0,0,0,0,1,0,75.5,2180.15,94588.0,1.0,1.0,75.0,0.47951047654366774
0475-RIJEP,0.0,8.0,5,1,40.45,1,1,29.0,0,0,1,0,1,0,100.6,1143.0,94704.0,1.0,1.0,75.0,0.0
8883-GRDWQ,0.0,8.0,5,1,42.93,0,1,9.0,0,0,1,0,1,0,92.1,523.8402282828799,94710.0,1.0,0.0,71.0,0.0
2446-PLQVO,0.0,14.0,0,1,15.8646710244325,0,1,24.0,0,0,0,0,1,0,90.45,1424.4399999999996,92122.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
1657-DYMBM,0.0,12.0,0,0,0.0,0,1,10.0,0,0,1,1,1,0,43.65,526.95,94933.0,1.0,1.0,77.0,0.0
1342-JPNKI,0.0,13.0,0,1,40.37,0,1,21.0,0,0,1,0,1,0,74.3,1465.16,95019.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
1618-CFHME,0.0,17.884502125652467,0,1,3.96,0,1,27.0,0,0,0,0,1,0,89.7,1091.26,95020.0,3.0,0.5063971815316151,68.0,0.0
5130-IEKQT,1.0,17.0,4,1,19.70128015597571,1,1,16.0,0,0,1,0,1,0,100.45,2101.51,92122.0,3.0,1.0,74.0,0.0
1090-ESELR,1.0,3.0,5,1,3.29,0,1,9.0,0,0,0,0,1,0,80.4,11.838287484864622,95232.0,2.0,0.0,74.0,0.0
5286-YHCVC,0.0,21.0,0,1,34.62,0,1,14.0,0,0,1,0,1,0,60.05,1855.0452743577198,95310.0,1.0,1.0,46.747821249768215,0.0
7839-NUIAA,0.0,16.0,0,1,38.75,1,1,16.0,0,0,0,0,1,0,96.15,2149.2,92027.0,3.0,0.0,76.0,0.0
4163-KIUHY,0.0,46.0,0,1,6.13,0,1,30.0,0,1,0,0,1,1,64.72779145779556,4706.18,90712.0,2.0,0.0,73.0,0.0
2212-LYASK,1.0,68.12885356666872,1,1,24.13,1,1,24.0,0,1,0,0,1,0,89.6,7768.44,95439.0,1.0,0.0,70.0,0.0
9823-EALYC,1.0,7.0,5,1,13.63,0,1,27.0,0,0,0,0,1,0,89.5,772.11,95464.0,3.0,1.0,75.0,0.0
5889-JTMUL,1.0,15.0,0,1,45.25,0,1,22.0,0,0,0,0,1,0,85.6,2024.3,92122.0,1.0,1.0,74.0,0.0
2165-VOEGB,0.0,16.0,0,1,19.18,1,1,22.0,0,0,0,0,1,0,86.6,1587.88,92122.0,3.0,1.0,76.0,0.0
9227-YBAXE,0.0,1.0,0,0,0.0,0,1,5.0,0,0,0,0,1,0,25.2,25.2,95562.0,1.0,0.0,74.0,0.47951047654366774
7126-RBHSD,0.0,1.0,0,1,20.06,0,1,24.0,0,0,0,0,1,0,79.2,99.26,92122.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
7853-OETYL,1.0,34.0,0,1,15.141897503205756,1,1,4.0,0,1,1,0,1,0,94.25,3315.4700000000007,95653.0,1.0,0.0,75.0,0.0
6242-MBHPK,0.0,4.0,0,1,12.68,0,1,10.0,0,1,1,0,1,0,47.47957228951759,493.57000000000005,95668.0,1.0,0.0,65.0,0.0
1282-IHQAC,0.0,2.0,0,1,19.27,1,1,18.0,0,0,0,0,1,0,93.85,209.39,92122.0,3.0,0.0,77.0,0.0
6619-RPLQZ,0.0,9.0,0,1,30.8,0,1,18.0,0,0,0,0,1,0,84.4,1009.7,95692.0,2.0,1.0,67.0,0.0
5982-FPVQN,0.0,5.0,0,1,42.33,0,1,9.0,0,0,1,0,1,0,75.55,561.3,95742.0,1.0,0.5063971815316151,78.0,0.0
5244-IRFIH,0.0,22.0,4,1,40.18,1,1,8.0,0,0,0,0,0,0,62.86579546833351,3066.91,95923.0,3.0,0.5063971815316151,65.0,0.47951047654366774
2868-SNELZ,0.0,15.0,4,1,22.29283354290986,1,1,19.0,0,0,0,0,1,0,75.65,1842.35,95942.0,3.0,1.0,70.0,0.0
3841-CONLJ,0.0,1.0,0,1,11.34,1,1,20.0,0,0,0,0,1,0,44.025857233556934,86.04,92122.0,1.0,1.0,69.0,0.0
7511-YMXVQ,0.0,1.0,0,0,0.0,0,1,26.0,0,0,0,0,0,0,25.8,45.8,92122.0,3.0,0.0,76.0,0.0
2229-VWQJH,0.0,10.0,4,1,41.37,1,1,14.0,0,0,0,0,1,0,95.35,1312.05,92122.0,1.0,1.0,71.0,0.0
7801-KICAO,0.0,3.0,0,1,30.14,0,1,6.0,0,0,0,0,0,0,45.0,227.52,92028.0,3.0,0.0,76.0,0.47951047654366774
0196-JTUQI,1.0,12.0,4,1,6.97,0,1,19.0,0,0,0,0,1,0,80.45,1033.84,96052.0,2.0,1.0,77.0,0.0
7124-UGSUR,0.0,2.0,5,1,6.51,0,1,11.0,0,1,0,0,1,0,74.7,178.42000000000004,96073.0,2.0,0.5063971815316151,74.0,0.0
7605-BDWDC,0.0,1.0,0,1,49.6,1,1,20.0,0,0,1,0,0,0,88.8,-192.96248883434154,92122.0,1.0,1.0,77.0,0.0
0014-BMAQU,1.0,13.0,4,1,1.47,0,1,5.0,0,0,0,0,1,0,89.05,1188.4599999999996,92122.0,3.0,1.0,76.0,0.0
7248-VZQLC,0.0,23.0,4,1,31.17,0,1,20.32486556647506,0,0,0,0,1,0,94.75,2059.846050676926,92130.0,2.0,0.0,77.0,0.0
4316-XCSLJ,1.0,17.0,4,1,36.82,1,1,6.0,0,0,1,0,1,0,85.35,2089.390000000001,92130.0,1.0,0.0,80.0,0.0
4713-LZDRV,0.0,20.707425641732193,0,1,40.93,0,1,2.0,0,0,0,0,1,0,45.05,1466.41,92122.0,1.0,1.0,68.0,0.0
3780-YVMFA,0.0,42.0,0,1,9.53,1,1,17.0,0,0,0,0,1,0,84.65,3941.61,92130.0,2.0,0.5063971815316151,46.747821249768215,0.47951047654366774
4781-ZXYGU,0.0,1.0,5,1,22.968040722525274,0,1,16.0,0,0,0,0,1,0,79.1,121.4,92122.0,3.0,1.0,65.0,0.0
7572-KPVKK,0.0,1.0,5,1,39.78,0,1,12.0,0,0,1,0,1,0,50.15,89.93,92122.0,2.0,1.0,68.0,0.0
7398-LXGYX,0.0,1.0,5,1,34.51,0,1,15.0,0,0,0,0,1,0,43.978012749554765,104.11,90254.0,1.0,0.0,72.0,0.0
0799-DDIHE,0.0,41.0,0,1,27.95,1,1,20.32486556647506,1,1,1,0,1,0,113.2,5835.45,90620.0,3.0,0.0,66.0,0.0
5081-NWSUP,1.0,32.0,0,1,16.263500372292473,1,1,23.0,0,0,0,0,1,0,85.0,2784.16,90813.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
7594-LZNWR,1.0,32.0,0,1,32.957391539825466,1,1,10.0,0,0,0,0,1,0,85.3,4248.3,91030.0,3.0,1.0,76.0,0.0
9122-UMROB,1.0,28.94307831571269,0,0,0.0,0,1,3.0,0,0,0,0,1,0,44.85,2560.88,91202.0,2.0,0.5063971815316151,70.0,0.0
6557-BZXLQ,0.0,1.0,5,1,15.28,0,1,14.0,0,0,0,0,1,0,45.1,-192.96248883434154,91202.0,2.0,1.0,71.0,0.0
4727-MCYZG,0.0,1.0,5,0,0.0,0,1,26.0,0,1,1,0,1,0,43.3,43.3,92122.0,3.0,1.0,75.0,0.47951047654366774
0661-KBKPA,0.0,38.0,0,1,26.1,0,1,27.0,1,1,0,0,1,0,57.15,3242.4500000000007,91342.0,1.0,0.0,67.0,0.0
1544-JJMYL,0.0,35.0,0,1,15.98,1,1,22.0,1,1,0,1,1,0,100.5,4212.65,91502.0,1.0,0.0,65.0,0.0
6178-KFNHS,0.0,1.0,5,1,15.24,0,1,14.0,0,0,0,0,1,0,45.1,60.34,91606.0,1.0,0.0,80.0,0.0
0480-BIXDE,1.0,30.0,0,1,4.65,0,1,29.0,0,1,0,0,1,0,50.4,2776.6487677941473,91710.0,3.0,1.0,71.0,0.0
6797-UCJHZ,0.0,5.0,5,1,12.27,0,1,20.0,0,0,0,0,1,0,78.95,439.75,91711.0,3.0,0.0,70.0,0.0
4791-QRGMF,0.0,1.0,5,1,14.331438945391923,1,1,6.0,0,0,0,0,1,0,93.55,123.72,92117.0,1.0,1.0,73.0,0.0
6979-TNDEU,1.0,58.0,2,1,49.38,1,1,19.0,1,1,1,0,1,0,108.85,9151.29,92117.0,3.0,1.0,78.0,0.0
1535-VTJOQ,0.0,16.0,0,1,17.51,1,1,7.0,0,0,0,0,1,0,84.75,1630.3100000000004,92117.0,2.0,0.0,76.0,0.0
6754-WKSHP,1.0,5.0,5,1,47.28,1,1,11.0,0,1,0,0,0,0,81.0,577.41,92122.0,3.0,0.0,68.0,0.0
6954-OOYZZ,0.0,21.0,0,1,42.27,0,1,7.0,0,0,0,0,1,0,96.8,2907.77,92239.0,1.0,1.0,79.0,0.47951047654366774
7136-RVDTZ,0.0,43.0,0,1,31.83,0,1,10.0,1,1,0,1,1,0,108.15,5969.3899999999985,92027.0,3.0,0.0,67.0,0.0
2455-USLMV,0.0,1.0,5,1,18.2,0,1,13.0,0,0,0,0,1,0,70.55,88.75,92397.0,3.0,0.0,72.0,0.0
9824-QCJPK,1.0,29.0,0,1,25.78,1,1,28.0,0,0,1,0,0,0,98.5,3754.22,92122.0,3.0,1.0,75.0,0.0
0701-TJSEF,1.0,13.0,0,1,31.7,1,1,6.0,0,0,0,0,1,0,95.25,1035.8421690808952,92122.0,3.0,1.0,67.0,0.0
2075-PUEPR,1.0,7.0,0,1,14.71746843115801,1,1,17.0,0,0,0,0,1,0,74.4,557.88,92567.0,3.0,1.0,72.0,0.0
4450-YOOHP,0.0,2.0,0,1,22.968040722525274,1,1,28.0,0,0,1,0,1,0,88.55,222.39,92606.0,1.0,0.0,68.0,0.0
3012-VFFMN,0.0,1.0,0,1,43.61,0,1,2.0,0,0,0,0,1,0,91.3,134.91,92122.0,3.0,0.0,68.0,0.47951047654366774
6077-BDPXA,1.0,7.0,0,1,16.05,0,1,22.0,0,0,0,0,1,0,70.1,559.67,92655.0,3.0,0.5063971815316151,75.0,0.0
4821-WQOYN,1.0,57.0,0,1,49.91,1,1,21.0,0,1,1,0,1,0,95.25,8259.33,92661.0,2.0,1.0,74.0,0.0
9786-YWNHU,4.0,10.562057496217983,0,1,17.35,1,1,23.0,0,0,1,0,1,0,100.8,118.15,92661.0,1.0,0.0,78.0,0.0
4177-JPDFU,2.0,17.0,0,1,14.184061093993158,0,1,8.0,0,1,0,0,1,0,76.45,1251.25,92706.0,1.0,0.5063971815316151,66.0,0.0
1101-SSWAG,0.0,3.0,5,1,18.38,0,1,20.0,0,0,1,0,1,0,86.85,276.09,93022.0,2.0,0.0,73.0,0.0
7609-YBPXG,1.0,66.0,1,1,28.86,0,1,25.0,0,0,0,0,1,0,107.32551675913552,8726.91,93101.0,1.0,1.0,79.0,0.0
0282-NVSJS,1.0,69.0,1,1,54.316653003260974,1,1,4.0,0,1,1,1,1,2,108.4,10690.92,93110.0,3.0,1.0,69.0,0.0
6807-SIWJI,0.0,56.0,0,1,37.135649326884,1,1,4.0,0,1,1,0,1,1,104.75,5439.058859943827,93270.0,3.0,0.0,68.0,0.0
6599-SFQVE,0.0,21.0,0,1,19.283669702052745,1,1,9.0,0,0,0,0,1,0,94.25,2417.9,92122.0,3.0,0.0,79.0,0.0
1157-BQCUW,0.0,1.0,0,1,47.97,0,1,8.0,0,0,0,0,1,0,70.15,118.12,93426.0,2.0,0.0,80.0,0.0
5117-IFGPS,1.0,40.0,3,1,49.5,1,1,20.0,0,0,0,0,1,0,77.4771256317417,5620.45,92122.0,1.0,0.5063971815316151,65.0,0.0
4816-LXZYW,0.0,2.0,0,0,0.0,0,1,6.0,0,0,0,0,1,0,24.45,47.5,93591.0,3.0,1.0,66.0,0.0
3411-WLRSQ,0.0,7.0,0,1,39.51,1,1,13.0,0,0,0,0,1,0,84.8,823.52,93612.0,3.0,1.0,46.747821249768215,0.0
1335-MXCSE,0.0,31.0,0,1,39.36,1,1,4.0,0,0,0,0,1,0,99.95,4406.81,93615.0,3.0,0.0,74.0,0.0
6519-ZHPXP,0.0,15.0,0,1,18.192690802087853,1,1,9.0,0,0,0,0,1,0,74.2,1443.5400000000004,92122.0,1.0,1.0,74.0,0.0
4979-HPRFL,0.0,59.0,0,1,10.78,1,1,15.0,0,0,0,0,1,0,93.85,6202.6399999999985,93665.0,2.0,0.5063971815316151,46.747821249768215,0.47951047654366774
5419-KLXBN,1.0,46.0,2,1,49.11,1,1,17.0,1,0,1,0,1,0,100.7,6753.619999999999,92122.0,1.0,1.0,76.0,0.0
5032-USPKF,0.0,16.0,0,1,32.11,1,1,14.0,0,0,0,0,1,0,96.4,2047.76,93932.0,3.0,0.0,46.747821249768215,0.0
2777-PHDEI,0.0,1.0,0,1,41.2,0,1,15.0,0,0,0,0,0,0,43.97707462241746,190.7,93933.0,2.0,1.0,75.0,0.0
7921-BEPCI,1.0,36.0,0,1,24.54,1,1,5.0,0,0,0,0,1,0,85.25,4016.19,92122.0,2.0,1.0,65.0,0.0
2115-BFTIW,0.0,45.0,0,1,10.67,0,1,20.32486556647506,1,0,1,0,1,1,62.7,3271.65,92122.0,1.0,1.0,79.0,0.0
8199-ZLLSA,0.0,25.0,3,1,46.34,1,1,22.0,0,1,1,0,1,0,105.95,3813.75,92122.0,2.0,1.0,73.0,0.47951047654366774
3134-DSHVC,0.0,39.0,3,1,41.93,1,1,23.0,0,0,0,0,0,0,95.65,5544.32,94123.0,1.0,1.0,79.0,0.0
3677-TNKIO,1.0,42.76513221143806,3,1,31.75217088005065,0,1,20.32486556647506,0,0,1,1,1,0,98.9,4397.75,94130.0,2.0,0.0,70.0,0.0
0774-IFUVM,0.0,3.0,0,1,30.25,1,1,20.32486556647506,0,0,0,0,1,0,76.05,322.55,94402.0,3.0,1.0,71.0,0.0
9948-YPTDG,0.0,1.0,0,1,33.84,0,1,5.0,0,0,0,0,1,0,69.75,103.59,94520.0,1.0,1.0,69.0,0.0
1150-WFARN,0.0,33.0,3,1,17.24,1,1,25.0,0,1,1,1,0,0,110.45,4294.37,92122.0,3.0,0.0,46.747821249768215,0.0
5567-GZKQY,1.0,7.0,0,1,42.92,1,1,2.0,0,0,1,0,1,0,99.25,965.89,94559.0,3.0,1.0,46.747821249768215,0.0
7748-UMTRK,0.0,19.0,4,1,17.78441108875669,1,1,15.0,0,0,1,0,1,0,79.85,1790.5700000000004,94803.0,3.0,1.0,67.0,0.0
6007-TCTST,2.0,15.688092302625643,0,1,26.99,0,1,2.0,0,0,0,0,1,0,80.45,799.37,94901.0,1.0,1.0,67.0,0.0
6897-RWMUB,0.0,13.0,4,1,7.22,1,1,28.0,1,0,0,0,1,0,100.8,1401.9599999999996,92122.0,1.0,0.0,69.0,0.0
7852-LECYP,0.0,10.0,4,1,7.51,0,1,18.0,0,0,0,0,1,0,79.25,868.65,94970.0,1.0,0.5063971815316151,75.0,0.0
4188-PCPIG,0.0,5.0,0,1,45.72,0,1,6.0,0,0,0,0,1,0,89.5,706.3,95032.0,3.0,1.0,67.0,0.0
6308-CQRBU,0.0,1.0,5,1,38.78,1,1,23.0,0,0,0,0,1,0,86.05,124.83,95039.0,1.0,0.5063971815316151,66.0,0.47951047654366774
1116-DXXDF,0.0,10.0,4,0,0.0,0,1,4.0,0,0,0,0,1,0,34.7,329.8,92122.0,3.0,0.0,46.747821249768215,0.0
3982-JGSFD,1.0,53.0,0,1,21.67,1,1,6.0,0,0,0,1,0,1,60.05,4478.16,95126.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
0594-UFTUL,1.0,16.0,4,1,26.12,0,1,8.0,0,1,0,0,1,0,74.3,1343.0433335597045,95127.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
1088-CNNKB,0.0,9.0,0,1,15.861082278051036,1,1,27.0,0,0,0,0,1,0,74.55,747.6899999999998,92122.0,1.0,0.0,70.0,0.0
5440-VHLUL,1.0,32.0,3,1,43.51,1,1,22.0,0,0,1,1,1,0,104.9,4710.14,95222.0,1.0,1.0,76.0,0.47951047654366774
9541-PWTWO,1.0,1.0,0,1,17.36,1,1,29.0,0,0,0,0,1,0,74.4,-192.96248883434154,95250.0,3.0,0.5063971815316151,67.0,0.0
8564-LDKFL,0.0,8.0,0,1,14.89,0,1,20.0,0,0,0,0,1,0,69.7,679.97,95303.0,1.0,1.0,80.0,0.47951047654366774
2815-CPTUL,1.0,20.047426650407786,4,1,30.63,1,1,27.0,0,0,1,0,1,0,98.1,1378.7,92122.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
9938-EKRGF,1.0,47.0,0,1,26.95,0,1,26.0,0,0,0,0,1,0,70.55,4548.91,92027.0,3.0,0.0,73.0,0.0
0111-KLBQG,1.0,1.0,0,1,37.3,0,1,8.0,0,0,0,0,1,0,43.97472930457422,106.55,95417.0,1.0,0.5063971815316151,46.747821249768215,0.47951047654366774
2722-VOJQL,0.0,12.0,4,1,18.080363040348043,0,1,20.32486556647506,0,1,0,1,0,0,83.8,933.4417809212923,95466.0,3.0,0.5063971815316151,46.747821249768215,0.47951047654366774
2982-IHMFT,0.0,41.0,3,1,22.56,1,1,15.0,0,0,1,0,1,0,99.8,3903.0530375497815,95488.0,1.0,1.0,78.0,0.0
1228-FZFRV,0.0,5.0,0,1,2.27,0,1,17.0,0,0,0,0,1,0,46.438720230686044,330.77,95543.0,3.0,1.0,68.0,0.0
6407-UTSLV,1.0,69.0,0,1,16.34,1,1,4.0,0,1,0,0,0,0,89.95,7373.82,95587.0,1.0,1.0,65.0,0.0
8039-EQPIM,0.0,14.0,4,1,16.703719928418657,1,1,11.0,0,0,0,0,1,0,74.95,1138.2425572404984,95608.0,3.0,1.0,67.0,0.0
4226-KKDON,0.0,32.0,3,1,33.22,0,1,9.0,0,1,0,0,1,0,74.4,3295.68,95610.0,3.0,0.5063971815316151,70.0,0.0
4124-MMETB,1.0,50.0,0,1,4.6,0,1,24.0,0,0,0,0,1,0,71.05,3674.85,95638.0,3.0,0.5063971815316151,69.0,0.47951047654366774
6994-KERXL,0.0,2.0,0,0,0.0,0,1,13.0,0,0,1,0,1,0,44.06291325548018,78.65,95658.0,1.0,0.0,73.0,0.0
1501-SGHBW,0.0,23.0,0,1,17.62,1,1,20.32486556647506,0,1,1,0,1,0,106.4,2059.846050676926,95678.0,1.0,1.0,74.0,0.47951047654366774
